time_s,mocap_hz,classifier_hz,pd_ctrl_hz
1.032,240.07,21.9,480.62
2.032,239.95,20.6,477.87
3.032,240.15,20.35,471.21
4.032,240.0,20.24,475.41
5.032,239.96,20.18,480.05
6.032,239.9,19.97,480.87
7.032,240.0,19.97,480.35
8.032,240.03,19.97,479.96
9.032,239.99,19.97,479.81
10.032,240.02,19.97,481.22
11.032,239.96,19.97,479.06
12.032,239.99,19.97,481.33
13.032,240.01,19.97,480.62
14.032,240.0,19.96,480.6
15.032,240.0,19.96,479.76
16.032,240.01,19.96,475.87
17.032,239.99,19.96,482.17
18.032,239.97,19.96,479.7
19.032,239.97,19.96,477.03
20.032,239.97,19.96,479.28
21.032,240.0,19.97,480.27
22.032,240.08,19.96,479.89
23.032,239.98,19.96,479.49
24.032,240.0,19.97,475.06
25.032,240.03,19.97,479.87
26.032,240.0,19.97,480.06
27.032,239.96,19.97,477.13
28.032,240.0,19.97,480.96
29.032,239.97,19.96,480.22
30.032,240.04,19.96,480.0
31.032,239.99,19.96,479.73
32.032,239.73,19.97,480.46
33.032,239.98,19.96,475.84
34.032,239.97,19.97,465.17
35.032,239.99,19.96,475.15
36.032,240.01,19.96,475.43
