time_s,mocap_hz,classifier_hz,pd_ctrl_hz
1.004,239.99,21.84,481.25
2.004,239.98,20.61,480.22
3.004,239.96,20.35,480.21
4.005,239.9,20.24,478.31
5.004,240.01,20.18,479.54
6.004,239.97,19.97,479.73
7.004,239.99,19.97,480.24
8.005,240.01,19.96,479.73
9.004,240.05,19.97,480.18
10.004,240.13,19.96,480.05
11.004,240.0,19.97,479.92
12.004,239.99,19.97,479.9
13.005,239.97,19.97,474.9
14.004,239.98,19.97,475.43
15.004,240.01,19.97,479.48
16.004,240.0,19.98,479.95
17.004,240.01,19.97,478.32
18.004,239.99,19.96,480.02
19.004,240.03,19.97,480.35
20.004,240.01,19.96,480.74
21.004,240.01,19.96,480.0
22.004,239.94,19.96,479.16
23.004,240.21,19.96,476.67
24.005,239.98,19.96,480.14
25.004,239.99,19.96,480.66
26.005,240.04,19.97,480.74
27.004,240.04,19.96,480.07
28.004,240.06,19.97,480.62
29.004,240.01,19.97,480.15
30.004,240.02,19.97,480.7
31.005,239.98,19.96,472.41
32.005,240.0,19.96,460.92
33.005,240.0,19.96,471.87
34.004,240.0,19.96,480.03
35.004,239.97,19.96,479.45
