time_s,frame,position_error_m,x_error_m,y_error_m,velocity_error_ms,heading_error_deg,joint_track_20cm_10deg,gait
0.4825,1,0.0001,0.0,-0.0001,0.0132,0.0,1,stand
0.4843,2,0.0001,-0.0,-0.0001,0.0132,0.001,1,stand
0.4864,3,0.0001,-0.0,-0.0001,0.0132,0.001,1,stand
0.4886,4,0.0001,-0.0,-0.0001,0.0127,0.001,1,stand
0.4919,5,0.0001,-0.0,-0.0001,0.0094,0.005,1,stand
0.4939,6,0.0002,-0.0,-0.0002,0.0094,0.005,1,stand
0.4962,7,0.0002,-0.0,-0.0002,0.0158,0.004,1,stand
0.4983,8,0.0002,-0.0,-0.0002,0.0158,0.004,1,stand
0.5005,9,0.0003,-0.0,-0.0003,0.0104,0.007,1,stand
0.5025,10,0.0003,-0.0,-0.0003,0.0104,0.007,1,stand
0.5047,11,0.0003,-0.0,-0.0003,0.0127,0.016,1,stand
0.5067,12,0.0003,-0.0,-0.0003,0.0127,0.015,1,stand
0.5089,13,0.0004,-0.0,-0.0003,0.0085,0.015,1,stand
0.511,14,0.0004,-0.0,-0.0003,0.0085,0.014,1,stand
0.5131,15,0.0004,-0.0,-0.0004,0.0123,0.023,1,stand
0.5152,16,0.0004,-0.0001,-0.0004,0.0123,0.023,1,stand
0.5173,17,0.0004,-0.0,-0.0004,0.0115,0.03,1,stand
0.5193,18,0.0004,-0.0,-0.0004,0.0115,0.03,1,stand
0.5215,19,0.0006,-0.0001,-0.0006,0.0273,0.017,1,stand
0.5236,20,0.0006,-0.0001,-0.0005,0.0273,0.017,1,stand
0.5257,21,0.0006,-0.0001,-0.0006,0.0113,0.018,1,stand
0.5278,22,0.0006,-0.0001,-0.0006,0.0113,0.018,1,stand
0.5299,23,0.0006,-0.0001,-0.0006,0.0121,0.02,1,stand
0.532,24,0.0006,-0.0001,-0.0006,0.0121,0.02,1,stand
0.5341,25,0.0007,-0.0001,-0.0007,0.0126,0.028,1,stand
0.5362,26,0.0007,-0.0001,-0.0007,0.0126,0.028,1,stand
0.5383,27,0.0007,-0.0001,-0.0007,0.0097,0.029,1,stand
0.5403,28,0.0007,-0.0001,-0.0007,0.0097,0.029,1,stand
0.5424,29,0.0008,-0.0001,-0.0008,0.0126,0.024,1,stand
0.5445,30,0.0008,-0.0001,-0.0008,0.0126,0.024,1,stand
0.5465,31,0.0008,-0.0,-0.0008,0.0215,0.014,1,stand
0.5486,32,0.0008,-0.0001,-0.0008,0.0215,0.013,1,stand
0.5507,33,0.0009,-0.0,-0.0009,0.0112,0.022,1,stand
0.5528,34,0.0008,-0.0,-0.0008,0.0112,0.022,1,stand
0.5549,35,0.0009,-0.0001,-0.0009,0.0137,0.016,1,stand
0.5569,36,0.0009,-0.0001,-0.0009,0.0137,0.016,1,stand
0.559,37,0.0009,-0.0,-0.0009,0.0107,0.018,1,stand
0.561,38,0.0009,-0.0001,-0.0009,0.0107,0.018,1,stand
0.5631,39,0.001,-0.0,-0.001,0.0091,0.026,1,stand
0.5652,40,0.001,-0.0,-0.001,0.0091,0.025,1,stand
0.5672,41,0.001,-0.0,-0.001,0.0116,0.025,1,stand
0.5693,42,0.001,-0.0001,-0.001,0.0116,0.025,1,stand
0.5713,43,0.0011,-0.0,-0.0011,0.0108,0.027,1,stand
0.5734,44,0.0011,-0.0001,-0.0011,0.0108,0.027,1,stand
0.5754,45,0.0011,-0.0001,-0.0011,0.0094,0.03,1,stand
0.5775,46,0.0011,-0.0001,-0.0011,0.0094,0.03,1,stand
0.5797,47,0.0011,-0.0,-0.0011,0.009,0.037,1,stand
0.5819,48,0.0011,-0.0001,-0.0011,0.009,0.037,1,stand
0.5842,49,0.0012,-0.0001,-0.0012,0.0115,0.035,1,stand
0.5862,50,0.0012,-0.0001,-0.0012,0.0115,0.035,1,stand
0.5883,51,0.0012,-0.0001,-0.0012,0.0108,0.044,1,stand
0.5903,52,0.0012,-0.0001,-0.0012,0.0108,0.044,1,stand
0.5925,53,0.0013,-0.0001,-0.0013,0.0113,0.043,1,stand
0.5945,54,0.0013,-0.0001,-0.0013,0.0113,0.043,1,stand
0.5967,55,0.0013,-0.0001,-0.0013,0.0112,0.049,1,stand
0.5988,56,0.0013,-0.0001,-0.0013,0.0112,0.049,1,stand
0.601,57,0.0014,-0.0001,-0.0014,0.0139,0.046,1,stand
0.604,58,0.0014,-0.0001,-0.0014,0.0084,0.047,1,stand
0.606,59,0.0014,-0.0001,-0.0014,0.0084,0.047,1,stand
0.6092,60,0.0015,-0.0001,-0.0015,0.0126,0.048,1,stand
0.6112,61,0.0015,-0.0001,-0.0015,0.0126,0.048,1,stand
0.6136,62,0.0015,-0.0001,-0.0015,0.0115,0.054,1,stand
0.6162,63,0.0016,-0.0001,-0.0016,0.0089,0.061,1,stand
0.618,64,0.0016,-0.0002,-0.0016,0.0089,0.062,1,stand
0.6217,65,0.0017,-0.0002,-0.0017,0.0129,0.066,1,stand
0.6236,66,0.0017,-0.0002,-0.0017,0.0129,0.066,1,stand
0.6258,67,0.0017,-0.0002,-0.0017,0.0099,0.071,1,stand
0.6279,68,0.0017,-0.0002,-0.0017,0.0099,0.072,1,stand
0.6303,69,0.0018,-0.0002,-0.0018,0.0134,0.082,1,stand
0.6325,70,0.0018,-0.0002,-0.0018,0.0134,0.082,1,stand
0.6345,71,0.0019,-0.0002,-0.0018,0.0094,0.077,1,stand
0.6368,72,0.0019,-0.0002,-0.0019,0.0133,0.085,1,stand
0.6385,73,0.0019,-0.0002,-0.0019,0.0133,0.085,1,stand
0.641,74,0.002,-0.0003,-0.002,0.013,0.085,1,stand
0.6426,75,0.002,-0.0003,-0.002,0.013,0.085,1,stand
0.645,76,0.0021,-0.0003,-0.0021,0.0123,0.095,1,stand
0.6468,77,0.0022,-0.0004,-0.0021,0.0123,0.095,1,stand
0.6488,78,0.0022,-0.0004,-0.0022,0.0123,0.093,1,stand
0.6509,79,0.0024,-0.0006,-0.0023,0.0125,0.088,1,stand
0.6532,80,0.0026,-0.0006,-0.0025,0.0177,0.089,1,stand
0.655,81,0.0026,-0.0007,-0.0025,0.0177,0.08,1,stand
0.657,82,0.0027,-0.0007,-0.0026,0.0177,0.077,1,stand
0.6591,83,0.0028,-0.0007,-0.0027,0.0149,0.07,1,stand
0.6611,84,0.0028,-0.0008,-0.0027,0.0149,0.06,1,stand
0.6632,85,0.0029,-0.0008,-0.0028,0.0161,0.057,1,stand
0.6652,86,0.0029,-0.0008,-0.0028,0.0161,0.054,1,stand
0.6673,87,0.003,-0.0008,-0.0028,0.0176,0.048,1,stand
0.6693,88,0.003,-0.0008,-0.0028,0.0176,0.042,1,stand
0.6714,89,0.003,-0.0008,-0.0029,0.0186,0.042,1,stand
0.6734,90,0.003,-0.0008,-0.0029,0.0186,0.04,1,stand
0.6755,91,0.0031,-0.0008,-0.003,0.0198,0.034,1,stand
0.6776,92,0.0031,-0.0008,-0.003,0.0198,0.03,1,stand
0.6796,93,0.0031,-0.0007,-0.0031,0.0169,0.029,1,stand
0.6817,94,0.0031,-0.0007,-0.0031,0.0169,0.027,1,stand
0.6838,95,0.0032,-0.0007,-0.0031,0.0209,0.034,1,stand
0.6858,96,0.0032,-0.0007,-0.0031,0.0209,0.033,1,stand
0.6879,97,0.0033,-0.0007,-0.0032,0.019,0.032,1,stand
0.6899,98,0.0033,-0.0007,-0.0032,0.019,0.031,1,stand
0.692,99,0.0034,-0.0007,-0.0033,0.0247,0.041,1,stand
0.6941,100,0.0034,-0.0007,-0.0033,0.0247,0.04,1,stand
0.6961,101,0.0035,-0.0007,-0.0034,0.0294,0.055,1,stand
0.6982,102,0.0035,-0.0007,-0.0034,0.0294,0.055,1,stand
0.7003,103,0.0036,-0.0007,-0.0035,0.0229,0.062,1,stand
0.7023,104,0.0036,-0.0007,-0.0035,0.0229,0.062,1,stand
0.7044,105,0.0038,-0.0008,-0.0037,0.0407,0.056,1,stand
0.7065,106,0.0038,-0.0008,-0.0037,0.0407,0.056,1,stand
0.7087,107,0.0039,-0.0008,-0.0038,0.0152,0.071,1,stand
0.7108,108,0.0039,-0.0008,-0.0038,0.0152,0.07,1,stand
0.7129,109,0.004,-0.0009,-0.0039,0.0217,0.085,1,stand
0.715,110,0.004,-0.0009,-0.0039,0.0217,0.085,1,stand
0.7171,111,0.0041,-0.0009,-0.004,0.0267,0.098,1,stand
0.7192,112,0.0041,-0.0009,-0.004,0.0267,0.098,1,stand
0.7213,113,0.0042,-0.001,-0.0041,0.022,0.115,1,stand
0.7233,114,0.0042,-0.001,-0.0041,0.022,0.115,1,stand
0.7255,115,0.0043,-0.001,-0.0042,0.0209,0.133,1,stand
0.7275,116,0.0043,-0.001,-0.0042,0.0209,0.133,1,stand
0.7297,117,0.0044,-0.001,-0.0043,0.0191,0.16,1,stand
0.7318,118,0.0044,-0.001,-0.0043,0.0191,0.16,1,stand
0.734,119,0.0045,-0.001,-0.0043,0.0192,0.178,1,stand
0.7361,120,0.0045,-0.001,-0.0043,0.0192,0.178,1,stand
0.7382,121,0.0045,-0.0011,-0.0044,0.0199,0.203,1,stand
0.7403,122,0.0045,-0.0011,-0.0044,0.0199,0.203,1,stand
0.7424,123,0.0046,-0.0011,-0.0045,0.0192,0.231,1,stand
0.7444,124,0.0046,-0.0011,-0.0045,0.0192,0.23,1,stand
0.7466,125,0.0047,-0.0012,-0.0046,0.0201,0.262,1,stand
