time_s,mocap_hz,classifier_hz,pd_ctrl_hz
1.004,240.09,21.84,480.53
2.004,240.01,20.61,480.17
3.004,239.97,20.35,479.75
4.004,239.95,20.25,478.63
5.004,240.0,20.18,480.17
6.004,239.98,19.97,475.06
7.004,239.95,19.97,479.61
8.004,239.93,19.97,474.93
9.004,239.99,19.97,481.01
10.004,239.97,19.97,477.79
11.004,240.01,19.97,480.32
12.004,240.0,19.97,479.93
13.004,239.99,19.96,480.12
14.004,240.01,19.97,475.08
15.004,240.0,19.96,476.13
16.004,239.8,19.95,479.23
17.004,239.98,19.96,479.56
18.004,240.0,19.96,479.41
19.004,240.01,19.97,477.69
20.004,240.0,19.96,479.92
21.004,240.0,19.97,474.44
22.004,239.84,19.96,475.32
23.004,240.18,19.95,478.18
24.004,239.9,19.96,479.0
25.004,240.04,19.96,477.79
26.004,239.95,19.96,482.1
27.004,240.0,19.96,475.8
28.004,240.04,19.97,479.84
29.004,239.99,19.97,480.54
30.004,240.02,19.97,480.64
31.004,239.98,19.97,477.73
32.004,239.99,19.96,479.81
33.004,240.0,19.96,482.19
34.004,239.97,19.97,476.29
35.004,240.09,19.97,480.89
36.004,239.99,19.96,479.6
37.004,240.0,19.97,475.61
38.004,240.02,19.96,479.72
39.004,240.07,19.96,479.94
