time_s,mocap_hz,classifier_hz,pd_ctrl_hz
1.035,240.28,21.97,3983.53
2.035,240.0,20.56,4041.55
3.035,240.0,20.32,4165.45
4.035,240.03,20.21,4123.73
5.035,240.0,20.15,3915.79
6.035,240.01,19.95,4148.72
7.035,239.97,19.95,4140.21
8.035,240.02,19.94,3989.29
9.035,239.99,19.95,3764.58
10.035,239.95,19.95,3719.72
11.035,240.12,19.94,3914.41
12.035,240.02,19.95,4092.7
13.035,240.08,19.94,3925.77
14.035,239.97,19.95,3751.38
15.035,240.05,19.95,4011.2
16.035,239.97,19.94,4008.75
17.035,240.04,19.94,3859.75
18.035,240.01,19.94,3954.4
19.035,239.98,19.94,4063.17
20.035,240.06,19.93,3816.14
21.035,239.98,19.94,3962.36
22.035,240.07,19.95,4196.66
23.035,240.01,19.95,4036.26
24.035,240.03,19.95,4572.63
25.035,240.2,19.95,3945.02
26.035,240.01,19.94,3469.38
27.035,240.24,19.93,3865.08
28.035,240.06,19.94,3977.64
29.035,240.05,19.93,3454.42
30.035,240.15,19.94,3824.29
31.035,239.99,19.95,3834.66
32.035,240.01,19.95,3905.03
33.035,239.98,19.94,3450.26
34.035,240.14,19.95,3760.99
35.035,240.03,19.94,4162.77
36.035,240.03,19.94,3969.94
37.035,239.96,19.94,3829.85
38.035,240.02,19.95,4041.77
39.035,239.95,19.95,3817.67
40.035,240.04,19.94,3996.62
41.035,240.05,19.94,4009.74
42.035,240.0,19.95,3536.31
43.035,239.98,19.95,3894.99
44.035,239.92,19.94,2959.32
45.035,240.15,19.94,3240.78
46.035,240.03,19.95,3806.5
47.035,239.97,19.94,5173.13
