time_s,mocap_hz,classifier_hz,pd_ctrl_hz
1.012,239.69,11.94,129.36
2.01,239.86,16.33,343.39
3.01,240.4,17.77,367.09
4.01,240.28,18.34,370.68
5.01,239.97,18.7,349.46
6.01,239.99,19.57,359.58
7.01,239.99,19.84,365.37
8.01,240.11,19.8,378.58
9.01,239.76,19.84,356.77
10.01,240.27,19.78,356.29
11.01,240.0,19.82,361.6
12.01,239.74,19.84,369.19
13.01,239.86,19.84,364.35
14.011,240.13,19.84,359.29
15.01,240.32,19.88,360.07
16.01,240.28,19.86,355.5
17.01,240.14,19.83,357.06
18.011,240.67,19.83,351.17
19.01,240.07,19.82,360.91
20.01,240.2,19.85,354.03
21.01,239.56,19.86,339.27
22.01,239.95,19.85,359.01
23.01,240.49,19.85,358.38
24.011,240.54,19.81,353.89
25.01,239.98,19.75,355.06
26.01,240.26,19.77,354.77
27.01,239.65,19.85,351.96
28.01,239.99,19.67,352.72
29.01,240.18,19.71,345.71
30.01,239.76,19.73,349.44
31.01,239.91,19.72,359.77
32.01,240.21,19.69,330.36
33.011,240.34,19.91,365.01
34.01,240.54,19.82,327.56
35.01,239.77,19.85,361.52
36.01,239.71,19.81,346.67
37.01,240.5,19.83,355.76
38.012,239.13,19.83,348.6
39.011,239.16,19.86,364.06
40.01,239.63,19.83,359.85
41.01,239.84,19.9,346.57
42.011,239.94,19.89,351.23
43.01,239.85,19.88,362.67
44.01,240.2,19.84,366.88
45.01,240.02,19.86,354.24
46.01,239.79,19.83,375.06
47.01,240.06,19.91,463.55
