time_s,mocap_hz,classifier_hz,pd_ctrl_hz
1.036,240.01,21.82,476.39
2.036,240.01,20.57,480.03
3.036,240.0,20.32,477.15
4.036,240.08,20.22,481.22
5.036,240.01,20.17,480.67
6.036,239.98,19.95,479.91
7.036,240.06,19.96,480.6
8.036,239.97,19.96,480.59
9.036,240.05,19.96,466.46
10.036,239.99,19.96,465.83
11.036,239.99,19.96,481.47
12.036,240.04,19.96,480.58
13.036,239.98,19.96,479.72
14.036,240.05,19.96,479.71
15.036,239.99,19.96,474.89
16.036,239.95,19.96,462.03
17.036,240.02,19.97,480.15
18.036,240.02,19.97,475.35
19.036,240.12,19.96,478.34
20.036,240.04,19.97,475.33
21.036,240.01,19.97,480.15
22.036,239.98,19.96,479.33
23.036,240.02,19.97,479.32
24.036,239.97,19.96,475.31
25.036,240.06,19.96,474.91
26.036,240.0,19.96,479.99
27.036,239.99,19.96,478.85
28.036,239.99,19.96,479.75
29.036,239.96,19.97,479.37
30.036,240.01,19.95,475.09
31.036,239.95,19.96,458.63
32.036,240.12,19.95,480.45
33.036,240.0,19.96,474.86
34.036,240.08,19.96,476.2
35.036,240.02,19.96,479.88
36.036,240.01,19.96,479.77
37.036,240.04,19.96,478.23
38.036,240.03,19.96,479.98
