time_s,mocap_hz,classifier_hz,pd_ctrl_hz
1.037,240.17,21.73,480.14
2.036,240.15,20.58,479.96
3.037,240.04,20.34,478.29
4.037,240.08,20.23,481.54
5.037,240.09,20.18,479.74
6.036,240.07,19.96,478.82
7.037,240.13,19.97,475.37
8.036,240.24,19.95,480.33
9.037,240.08,19.95,480.47
10.037,240.08,19.95,476.26
11.036,240.06,19.96,479.82
12.037,240.14,19.95,480.36
13.036,240.23,19.96,471.0
14.036,240.29,19.96,470.47
15.037,240.07,19.96,481.41
16.036,240.08,19.96,477.03
17.036,240.11,19.97,476.27
18.036,240.08,19.96,479.9
19.037,240.19,19.96,470.44
20.037,240.07,19.97,477.92
21.037,240.09,19.97,479.88
22.037,240.14,19.96,467.44
23.036,239.99,19.96,479.22
24.036,240.11,19.96,480.02
25.036,240.08,19.96,479.75
26.037,240.09,19.96,479.82
27.036,240.1,19.96,479.72
28.037,240.08,19.97,479.87
29.036,239.92,19.96,475.21
30.037,240.11,19.97,480.1
31.036,240.07,19.97,470.18
32.037,240.14,19.96,479.95
33.036,239.97,19.96,481.14
34.037,240.15,19.96,480.53
35.037,240.04,19.96,479.78
36.037,240.07,19.96,479.44
37.037,240.1,19.97,480.9
38.037,240.08,19.97,475.27
39.037,240.04,19.97,480.16
40.036,240.1,19.96,480.22
41.037,240.09,19.97,479.84
42.036,240.11,19.97,479.95
43.037,240.1,19.97,480.09
44.037,240.12,19.97,480.42
45.036,240.07,19.97,480.06
46.036,240.1,19.97,480.24
47.036,240.03,19.97,486.44
