time_s,mocap_hz,classifier_hz,pd_ctrl_hz
1.034,240.02,21.69,480.79
2.034,240.02,20.59,477.15
3.034,240.12,20.34,479.41
4.034,239.91,20.23,479.55
5.034,239.99,20.18,480.28
6.034,240.01,19.97,480.24
7.034,240.0,19.97,479.38
8.034,239.98,19.97,480.94
9.034,239.99,19.97,480.1
10.034,240.01,19.97,480.15
11.034,240.03,19.97,480.77
12.034,240.03,19.97,481.2
13.034,240.02,19.98,479.91
14.034,240.0,19.98,480.49
15.034,240.0,19.97,479.02
16.034,240.09,19.97,479.56
17.034,240.05,19.97,479.92
18.034,239.97,19.97,479.7
19.034,240.08,19.96,480.11
20.034,240.03,19.97,479.57
21.034,240.0,19.97,480.07
22.034,240.05,19.97,480.44
23.034,240.15,19.96,459.54
24.035,240.19,19.96,463.57
25.034,240.19,19.96,474.86
26.034,240.01,19.96,474.03
27.034,240.07,19.96,469.97
28.035,239.95,19.96,474.56
29.034,240.02,19.97,479.28
30.034,239.98,19.96,480.21
31.034,240.0,19.97,463.17
32.034,239.99,19.97,480.26
33.034,240.03,19.97,480.28
34.035,240.03,19.97,474.3
35.034,240.1,19.97,479.86
36.034,239.96,19.97,479.89
