time_s,mocap_hz,classifier_hz,pd_ctrl_hz
1.014,241.11,10.37,147.97
2.012,239.85,15.4,537.53
3.011,240.16,17.14,474.91
4.011,239.99,17.93,512.97
5.011,239.27,18.35,513.8
6.011,240.21,19.15,531.07
7.011,240.77,19.84,563.23
8.01,239.65,19.88,544.65
9.011,239.99,19.89,567.64
10.011,239.83,19.85,564.56
11.011,240.2,19.87,530.24
12.012,240.06,19.83,526.92
13.011,240.48,19.82,546.86
14.012,239.97,19.8,522.96
15.012,240.19,19.86,564.79
16.011,239.69,19.86,544.24
17.011,240.11,19.89,565.15
18.011,240.27,19.85,526.92
19.011,240.16,19.83,537.45
20.011,239.69,19.84,552.57
21.011,239.74,19.84,551.32
22.012,239.92,19.83,562.4
23.011,239.87,19.86,545.19
24.011,240.21,19.9,517.07
25.013,239.65,19.9,536.83
26.012,240.03,19.88,533.57
27.011,240.81,19.88,529.1
28.012,239.66,19.85,538.13
29.011,239.86,19.82,533.48
30.013,239.46,19.84,537.1
31.011,240.15,19.86,532.87
32.011,240.08,19.89,599.96
33.011,239.74,19.88,551.31
34.011,240.26,19.91,503.68
35.011,239.46,19.84,524.62
36.011,240.1,19.86,537.49
37.011,240.42,19.87,547.61
38.012,239.64,19.86,496.04
39.011,239.97,19.85,514.07
40.011,239.92,19.83,494.02
41.012,239.77,19.79,514.96
42.011,239.43,19.78,521.15
43.011,238.68,19.5,266.63
44.012,239.73,19.59,514.31
45.01,241.0,19.56,513.21
46.01,239.81,19.63,934.4
