time_s,mocap_hz,classifier_hz,pd_ctrl_hz
1.034,240.2,22.1,479.93
2.034,240.01,20.62,480.28
3.034,240.02,20.36,479.45
4.034,240.01,20.25,479.97
5.034,240.05,20.18,481.31
6.034,240.04,19.97,479.29
7.034,239.97,19.96,480.49
8.034,239.97,19.96,473.65
9.034,239.99,19.96,475.33
10.034,239.99,19.96,479.87
11.034,239.98,19.96,475.02
12.034,240.03,19.97,479.63
13.034,240.01,19.97,479.37
14.034,240.01,19.97,481.14
15.034,239.99,19.96,479.88
16.034,239.99,19.97,479.85
17.034,239.99,19.97,480.96
18.034,240.0,19.96,479.5
19.034,239.95,19.97,479.57
20.034,239.92,19.96,480.22
21.034,240.01,19.97,476.51
22.034,240.06,19.96,480.75
23.034,239.97,19.97,480.31
24.034,240.01,19.97,479.89
25.034,240.0,19.97,475.19
26.034,239.93,19.97,469.91
27.034,240.0,19.97,478.89
28.034,240.0,19.97,480.85
29.034,239.98,19.97,480.81
30.034,239.96,19.97,479.4
31.034,240.02,19.97,461.59
32.034,240.0,19.97,479.93
33.034,239.98,19.96,479.04
34.034,240.09,19.97,475.62
35.034,239.97,19.97,479.87
36.035,240.01,19.97,481.0
37.034,240.0,19.96,479.31
38.034,240.0,19.98,480.53
39.034,240.01,19.97,479.86
40.034,239.99,19.96,480.14
41.034,239.96,19.96,470.05
42.034,240.01,19.97,479.58
43.035,240.0,19.97,480.92
44.034,239.99,19.97,480.11
45.034,239.93,19.97,477.8
46.034,240.02,19.96,480.76
47.034,240.02,19.97,483.73
