time_s,mocap_hz,classifier_hz,pd_ctrl_hz
1.036,240.02,22.14,481.31
2.036,239.99,20.63,478.48
3.036,239.86,20.36,470.03
4.036,240.01,20.24,478.59
5.036,239.96,20.18,480.12
6.036,239.98,19.97,480.46
7.036,240.03,19.97,480.21
8.036,239.97,19.97,481.08
9.036,239.99,19.97,480.35
10.036,240.01,19.97,479.46
11.036,239.95,19.97,475.4
12.036,239.97,19.96,480.31
13.036,239.86,19.96,460.08
14.036,239.91,19.96,468.99
15.036,239.91,19.95,460.33
16.036,240.06,19.96,467.74
17.036,240.01,19.96,479.4
18.036,240.04,19.97,480.36
19.036,239.98,19.97,479.8
20.036,239.99,19.96,481.15
21.036,240.01,19.95,481.35
22.036,240.1,19.97,480.28
23.036,239.97,19.95,482.48
24.036,240.02,19.96,476.05
25.036,240.04,19.96,471.91
26.036,240.1,19.97,479.81
27.036,240.12,19.96,481.1
28.036,240.06,19.96,476.33
29.036,239.99,19.96,481.42
30.036,239.99,19.97,479.82
31.036,239.97,19.96,465.63
32.036,240.0,19.96,480.83
33.036,240.02,19.97,479.13
34.036,240.02,19.96,474.54
35.036,239.98,19.97,479.64
36.036,239.94,19.97,480.39
37.036,239.93,19.96,473.23
38.036,239.86,19.97,479.63
39.036,239.95,19.96,479.85
40.036,239.98,19.97,475.2
41.036,239.96,19.97,478.99
42.036,240.0,19.97,475.39
43.036,240.03,19.96,481.0
44.036,240.02,19.96,478.43
45.036,239.97,19.97,478.64
46.036,239.97,19.97,481.66
47.036,239.97,19.97,486.15
