time_s,mocap_hz,classifier_hz,pd_ctrl_hz
1.009,239.96,21.06,337.58
2.01,239.26,20.26,350.42
3.009,240.2,20.07,347.17
4.009,240.45,20.01,354.45
5.009,240.29,20.02,367.19
6.009,240.03,19.84,344.84
7.009,240.03,19.89,356.33
8.009,240.94,19.9,360.93
9.009,239.26,19.87,356.34
10.009,239.81,19.84,354.81
11.009,239.57,19.87,338.56
12.009,240.18,19.8,370.82
13.009,240.23,19.84,366.13
14.009,240.4,19.88,359.82
15.009,240.29,19.83,345.11
16.009,240.19,19.92,348.56
17.009,239.26,19.91,348.08
18.009,239.62,19.89,347.65
19.009,240.14,19.9,345.34
20.009,239.89,19.94,349.61
21.009,239.93,19.94,350.38
22.009,240.21,19.91,372.13
23.009,240.19,19.95,378.19
24.009,240.23,19.86,343.56
25.009,239.87,19.87,349.18
26.009,239.77,19.82,365.7
27.009,239.69,19.83,342.41
28.009,239.67,19.82,338.39
29.009,240.16,19.85,367.3
30.009,239.92,19.85,343.65
31.009,240.68,19.72,333.75
32.009,240.48,19.87,364.45
33.009,240.14,19.86,344.57
34.009,239.71,19.86,360.75
35.009,240.16,19.84,367.77
36.009,241.19,19.89,344.81
37.009,239.19,19.83,361.08
38.01,239.07,19.82,350.72
39.01,240.18,19.81,344.85
40.009,240.06,19.84,354.94
41.009,240.05,19.87,367.47
42.009,240.25,19.84,363.79
43.009,239.86,19.88,348.64
44.009,240.18,19.87,348.98
45.009,239.77,19.84,352.42
46.009,239.76,19.85,348.61
47.009,240.28,19.93,405.54
