time_s,mocap_hz,classifier_hz,pd_ctrl_hz
1.005,239.96,22.14,479.32
2.004,240.01,20.63,480.38
3.004,239.98,20.36,479.76
4.004,240.02,20.24,480.34
5.005,240.02,20.18,479.0
6.005,239.97,19.96,479.93
7.004,240.08,19.96,480.91
8.004,240.0,19.96,481.17
9.004,239.97,19.97,474.72
10.004,239.99,19.96,479.56
11.004,240.03,19.96,480.11
12.004,240.0,19.96,480.1
13.005,239.94,19.96,474.28
14.004,240.02,19.96,480.72
15.004,240.01,19.97,477.43
16.005,239.98,19.96,479.99
17.004,240.01,19.96,480.27
18.005,240.03,19.96,479.83
19.005,239.96,19.96,475.38
20.004,239.98,19.96,477.03
21.004,240.07,19.97,480.04
22.004,239.93,19.96,480.06
23.004,239.95,19.97,479.23
24.004,240.02,19.97,480.16
25.004,239.94,19.96,481.18
26.004,239.98,19.97,479.84
27.004,239.98,19.97,480.41
28.004,239.99,19.97,480.72
29.005,239.99,19.96,479.81
30.004,239.99,19.97,480.31
31.004,239.99,19.96,480.43
32.004,240.01,19.96,480.9
33.004,240.01,19.96,480.33
34.004,240.02,19.96,481.06
35.004,239.99,19.97,474.88
36.004,240.04,19.97,480.08
37.004,240.01,19.96,479.91
38.004,240.02,19.96,480.98
39.004,240.06,19.96,480.32
40.004,239.91,19.96,479.66
41.004,239.97,19.97,479.92
42.004,239.97,19.97,480.16
43.005,239.96,19.97,479.07
44.004,239.99,19.97,479.86
45.004,240.0,19.97,475.56
46.004,240.02,19.97,479.98
47.004,240.01,19.96,485.27
