time_s,frame,position_error_m,x_error_m,y_error_m,velocity_error_ms,heading_error_deg,joint_track_20cm_10deg,gait
0.4772,1,0.0,0.0,-0.0,0.2861,0.0,1,stand
0.4792,2,0.0,-0.0,0.0,0.2861,0.0,1,jog
0.4812,3,0.0012,-0.0012,0.0003,0.2843,0.121,1,jog
0.4833,4,0.0012,-0.0012,0.0003,0.2843,0.121,1,jog
0.4854,5,0.0024,-0.0023,0.0007,0.2766,0.257,1,jog
0.4874,6,0.0024,-0.0023,0.0007,0.2766,0.257,1,jog
0.4895,7,0.0035,-0.0034,0.001,0.2775,0.408,1,jog
0.4916,8,0.0035,-0.0034,0.001,0.2775,0.409,1,jog
0.4937,9,0.0047,-0.0045,0.0013,0.2832,0.587,1,jog
0.4958,10,0.0047,-0.0045,0.0013,0.2832,0.587,1,jog
0.4979,11,0.0059,-0.0057,0.0016,0.2894,0.767,1,jog
0.5,12,0.0059,-0.0057,0.0016,0.2894,0.768,1,jog
0.5021,13,0.0071,-0.0068,0.0019,0.2783,0.941,1,jog
0.5042,14,0.0071,-0.0068,0.0019,0.2783,0.941,1,jog
0.5063,15,0.0083,-0.008,0.0023,0.2914,1.108,1,jog
0.5083,16,0.0083,-0.008,0.0023,0.2914,1.108,1,jog
0.5104,17,0.0095,-0.0092,0.0026,0.2911,1.255,1,jog
0.5124,18,0.0095,-0.0092,0.0026,0.2911,1.255,1,jog
0.5145,19,0.0107,-0.0103,0.0029,0.293,1.403,1,jog
0.5166,20,0.0107,-0.0103,0.0029,0.293,1.403,1,jog
0.5187,21,0.012,-0.0116,0.0033,0.3108,1.571,1,jog
0.5208,22,0.012,-0.0116,0.0033,0.3108,1.571,1,jog
0.5229,23,0.0133,-0.0128,0.0037,0.3052,1.746,1,jog
0.525,24,0.0133,-0.0128,0.0037,0.3052,1.746,1,jog
0.5272,25,0.0145,-0.014,0.004,0.2944,1.921,1,jog
0.5292,26,0.0145,-0.014,0.004,0.2944,1.921,1,jog
0.5314,27,0.0158,-0.0152,0.0043,0.3146,2.12,1,jog
0.5334,28,0.0158,-0.0152,0.0043,0.3146,2.121,1,jog
0.5355,29,0.017,-0.0164,0.0046,0.2875,2.305,1,jog
0.5376,30,0.017,-0.0164,0.0046,0.2875,2.305,1,jog
0.5397,31,0.0182,-0.0176,0.0049,0.2946,2.496,1,jog
0.5418,32,0.0182,-0.0176,0.0049,0.2946,2.496,1,jog
0.5439,33,0.0194,-0.0187,0.0053,0.2814,2.686,1,jog
0.546,34,0.0194,-0.0187,0.0053,0.2814,2.687,1,jog
0.5485,35,0.0206,-0.0199,0.0055,0.2927,2.896,1,jog
0.5511,36,0.0218,-0.021,0.0058,0.2818,3.092,1,jog
0.5528,37,0.0218,-0.021,0.0058,0.2818,3.093,1,jog
0.5548,38,0.0229,-0.0221,0.0061,0.2773,3.274,1,jog
0.5569,39,0.0229,-0.0221,0.0061,0.2773,3.275,1,jog
0.5591,40,0.0242,-0.0233,0.0064,0.2975,3.471,1,jog
0.5611,41,0.0242,-0.0233,0.0064,0.2975,3.471,1,jog
0.5632,42,0.0255,-0.0246,0.0067,0.3259,3.68,1,jog
0.5653,43,0.0255,-0.0246,0.0067,0.3259,3.68,1,jog
0.5683,44,0.0267,-0.0258,0.0071,0.2915,3.851,1,jog
0.5695,45,0.0267,-0.0258,0.0071,0.2915,3.851,1,jog
0.5716,46,0.028,-0.0271,0.0074,0.313,4.014,1,jog
0.5737,47,0.028,-0.0271,0.0074,0.313,4.014,1,jog
0.5758,48,0.0294,-0.0284,0.0077,0.3326,4.187,1,jog
0.5779,49,0.0294,-0.0284,0.0077,0.3326,4.187,1,jog
0.58,50,0.0308,-0.0298,0.008,0.3371,4.356,1,jog
0.5821,51,0.0308,-0.0298,0.008,0.3371,4.356,1,jog
0.5841,52,0.0322,-0.0311,0.0084,0.336,4.504,1,jog
0.5862,53,0.0322,-0.0311,0.0084,0.336,4.504,1,jog
0.5883,54,0.0335,-0.0324,0.0088,0.3127,4.614,1,jog
0.5903,55,0.0335,-0.0324,0.0088,0.3127,4.614,1,jog
0.5925,56,0.035,-0.0338,0.0091,0.3503,4.736,1,jog
0.5946,57,0.035,-0.0338,0.0091,0.3503,4.736,1,jog
0.5969,58,0.0365,-0.0353,0.0094,0.3632,4.861,1,jog
0.599,59,0.0365,-0.0353,0.0094,0.3632,4.861,1,jog
0.6018,60,0.0382,-0.0369,0.0098,0.4032,5.02,1,jog
0.6035,61,0.0382,-0.0369,0.0098,0.4032,5.02,1,jog
0.606,62,0.0395,-0.0382,0.0101,0.3159,5.057,1,jog
0.6077,63,0.0395,-0.0382,0.0101,0.3159,5.057,1,jog
0.6102,64,0.0412,-0.0398,0.0104,0.3986,5.171,1,jog
0.6122,65,0.0412,-0.0399,0.0104,0.3986,5.171,1,jog
0.6143,66,0.0429,-0.0415,0.0107,0.401,5.284,1,jog
0.6163,67,0.0429,-0.0415,0.0107,0.401,5.284,1,jog
0.6185,68,0.0446,-0.0432,0.011,0.4051,5.383,1,jog
0.6205,69,0.0446,-0.0432,0.011,0.4051,5.383,1,jog
0.6226,70,0.0462,-0.0448,0.0113,0.3836,5.452,1,jog
0.6246,71,0.0462,-0.0448,0.0113,0.3836,5.451,1,jog
0.6268,72,0.0479,-0.0465,0.0115,0.4171,5.533,1,jog
0.6288,73,0.0479,-0.0465,0.0115,0.4171,5.532,1,jog
0.6308,74,0.0498,-0.0483,0.0118,0.439,5.645,1,jog
0.6329,75,0.0498,-0.0484,0.0118,0.439,5.643,1,jog
0.635,76,0.0515,-0.0501,0.0121,0.797,5.71,1,jog
0.637,77,0.0516,-0.0501,0.0121,0.948,5.706,1,jog
0.6391,78,0.0533,-0.0518,0.0123,0.6918,5.755,1,jog
0.6411,79,0.0533,-0.0519,0.0123,0.9379,5.753,1,jog
0.6432,80,0.0559,-0.0545,0.0122,3.0765,5.94,1,jog
0.6453,81,0.056,-0.0547,0.0122,1.3487,5.935,1,jog
0.6475,82,0.0579,-0.0566,0.0123,2.0773,6.024,1,jog
0.6495,83,0.058,-0.0567,0.0123,1.0112,6.022,1,jog
0.6516,84,0.0601,-0.0588,0.0125,2.823,6.118,1,jog
0.6536,85,0.0602,-0.0589,0.0125,1.1284,6.114,1,jog
0.6557,86,0.0622,-0.0609,0.0128,0.7173,6.216,1,jog
0.6578,87,0.0622,-0.0609,0.0128,1.0911,6.212,1,jog
0.6599,88,0.0641,-0.0627,0.0131,0.1346,6.266,1,jog
0.662,89,0.064,-0.0627,0.0131,1.0327,6.26,1,jog
0.6641,90,0.066,-0.0647,0.0134,2.9688,6.374,1,jog
0.6662,91,0.066,-0.0646,0.0134,1.1245,6.365,1,jog
0.6682,92,0.0684,-0.067,0.0137,3.0695,6.645,1,jog
0.6702,93,0.0684,-0.067,0.0137,1.3319,6.628,1,jog
0.6724,94,0.0703,-0.0689,0.014,2.0462,6.689,1,jog
0.6745,95,0.0701,-0.0687,0.014,1.0991,6.674,1,jog
0.6767,96,0.0722,-0.0708,0.0141,2.891,6.776,1,jog
0.6787,97,0.0721,-0.0707,0.0141,1.205,6.758,1,jog
0.6808,98,0.0738,-0.0724,0.0143,1.9483,6.749,1,jog
0.6828,99,0.0737,-0.0723,0.0143,1.0672,6.739,1,jog
0.6849,100,0.0756,-0.0741,0.0146,2.9454,6.773,1,jog
0.687,101,0.0754,-0.074,0.0146,1.1361,6.737,1,jog
0.6891,102,0.0774,-0.076,0.0148,2.4972,6.811,1,jog
0.6912,103,0.0772,-0.0758,0.0148,1.1521,6.786,1,jog
0.6933,104,0.0794,-0.0779,0.015,3.0381,6.893,1,jog
0.6953,105,0.0792,-0.0778,0.015,1.254,6.851,1,jog
0.6974,106,0.0804,-0.0789,0.0154,2.1826,6.466,1,jog
0.6995,107,0.0803,-0.0788,0.0155,0.8405,6.435,1,jog
0.7018,108,0.0836,-0.0822,0.0152,3.3128,7.198,1,jog
0.7039,109,0.0835,-0.0821,0.0153,1.815,7.165,1,jog
0.7059,110,0.0855,-0.0842,0.0153,1.9705,7.327,1,jog
0.708,111,0.0854,-0.084,0.0154,1.2271,7.291,1,jog
0.7101,112,0.0876,-0.0862,0.0157,2.6255,7.424,1,jog
0.7121,113,0.0874,-0.086,0.0158,1.3271,7.386,1,jog
0.7142,114,0.0891,-0.0877,0.0161,2.0842,7.321,1,jog
0.7162,115,0.0889,-0.0874,0.0162,1.1058,7.257,1,jog
0.7183,116,0.0913,-0.0898,0.0165,3.1099,7.449,1,jog
0.7203,117,0.0911,-0.0896,0.0167,1.4451,7.426,1,jog
0.7225,118,0.0936,-0.092,0.017,2.5305,7.603,1,jog
0.7245,119,0.0932,-0.0916,0.0172,1.429,7.53,1,jog
0.7266,120,0.0957,-0.0941,0.0175,1.0329,7.635,1,jog
0.7286,121,0.0953,-0.0936,0.0178,1.4004,7.557,1,jog
0.7307,122,0.0978,-0.0961,0.0182,2.0886,7.68,1,jog
0.7328,123,0.0974,-0.0956,0.0185,1.4116,7.625,1,jog
0.7349,124,0.1,-0.0982,0.0188,3.0523,7.811,1,jog
0.7369,125,0.0997,-0.0978,0.0191,1.5529,7.754,1,jog
0.7391,126,0.102,-0.1001,0.0195,1.2035,7.808,1,jog
0.7411,127,0.1017,-0.0998,0.0198,1.4473,7.747,1,jog
0.7433,128,0.1042,-0.1022,0.0201,3.0906,7.924,1,jog
0.7454,129,0.1039,-0.1018,0.0204,1.5175,7.861,1,jog
0.7475,130,0.1062,-0.1041,0.0211,1.881,7.871,1,jog
0.7495,131,0.1058,-0.1037,0.0214,1.5229,7.804,1,jog
0.7516,132,0.1083,-0.106,0.0219,2.0675,7.904,1,jog
0.7536,133,0.1079,-0.1056,0.0222,1.5256,7.869,1,jog
0.7557,134,0.1105,-0.1081,0.0229,2.7773,7.95,1,jog
0.7578,135,0.1101,-0.1076,0.0232,1.575,7.877,1,jog
0.7599,136,0.1129,-0.1104,0.0235,2.9147,8.006,1,jog
0.762,137,0.1125,-0.1099,0.0239,1.7061,7.93,1,jog
0.7641,138,0.1157,-0.1132,0.024,3.3695,8.17,1,jog
0.7661,139,0.1153,-0.1126,0.0244,1.9057,8.13,1,jog
0.7682,140,0.1183,-0.1156,0.0248,0.3505,8.302,1,jog
0.7702,141,0.1178,-0.1151,0.0252,1.8202,8.222,1,jog
0.7725,142,0.1204,-0.1176,0.026,0.4633,8.23,1,jog
0.7746,143,0.1199,-0.117,0.0265,1.7458,8.146,1,jog
0.7767,144,0.1227,-0.1197,0.027,2.1079,8.295,1,jog
0.7787,145,0.1222,-0.1191,0.0275,1.7342,8.208,1,jog
0.7809,146,0.1248,-0.1216,0.0281,1.0284,8.273,1,jog
0.7829,147,0.1243,-0.121,0.0286,1.6765,8.138,1,jog
0.785,148,0.1269,-0.1235,0.0291,3.029,8.189,1,jog
0.787,149,0.1264,-0.1229,0.0297,1.7014,8.143,1,jog
0.7892,150,0.129,-0.1254,0.0303,2.2318,8.195,1,jog
0.7912,151,0.1285,-0.1247,0.0309,1.7041,8.101,1,jog
0.7932,152,0.131,-0.1272,0.0315,2.4007,8.11,1,jog
0.7953,153,0.1305,-0.1265,0.0321,1.6999,8.014,1,jog
0.7974,154,0.1331,-0.1291,0.0323,2.5725,8.124,1,jog
0.7995,155,0.1322,-0.1279,0.0332,1.6548,7.978,1,jog
0.8015,156,0.1345,-0.1301,0.0342,0.6067,8.006,1,jog
0.8036,157,0.1339,-0.1293,0.0348,1.6107,7.858,1,jog
0.8057,158,0.1364,-0.1317,0.0354,3.1004,7.86,1,jog
0.8077,159,0.1358,-0.1309,0.0361,1.6945,7.761,1,jog
0.8099,160,0.1382,-0.1334,0.0364,1.8247,7.732,1,jog
0.812,161,0.1373,-0.1321,0.0373,1.4536,7.583,1,jog
0.814,162,0.1395,-0.1343,0.0378,3.1961,7.506,1,jog
0.8161,163,0.1389,-0.1334,0.0385,1.585,7.356,1,jog
0.8182,164,0.1418,-0.1363,0.0391,3.3008,7.42,1,jog
0.8202,165,0.1411,-0.1354,0.0398,1.8877,7.32,1,jog
0.8224,166,0.1443,-0.1386,0.04,2.3753,7.429,1,jog
0.8244,167,0.1433,-0.1373,0.041,1.7936,7.279,1,jog
0.8266,168,0.1458,-0.1396,0.0419,2.9205,7.115,1,jog
0.8286,169,0.1451,-0.1388,0.0425,1.894,7.016,1,jog
0.8308,170,0.148,-0.1415,0.0431,2.4981,7.009,1,jog
0.8328,171,0.1473,-0.1406,0.0438,1.901,6.96,1,jog
0.8349,172,0.1503,-0.1436,0.0444,3.3958,6.945,1,jog
0.837,173,0.1497,-0.1427,0.0451,2.0026,6.847,1,jog
0.839,174,0.1526,-0.1456,0.0457,1.7825,6.8,1,jog
0.8411,175,0.1519,-0.1447,0.0464,1.9714,6.703,1,jog
0.8432,176,0.1549,-0.1476,0.047,3.3606,6.69,1,jog
0.8452,177,0.1542,-0.1467,0.0477,2.0114,6.595,1,jog
0.8474,178,0.1571,-0.1495,0.0482,1.3196,6.557,1,jog
0.8494,179,0.156,-0.148,0.0493,1.8431,6.371,1,jog
0.8516,180,0.159,-0.1511,0.0497,3.4615,6.322,1,jog
0.8536,181,0.1583,-0.1501,0.0505,2.0652,6.277,1,jog
0.8557,182,0.1616,-0.1536,0.0503,3.2154,6.341,1,jog
0.8578,183,0.1609,-0.1526,0.051,2.2807,6.252,1,jog
0.8599,184,0.1639,-0.1556,0.0514,0.6486,6.155,1,jog
0.862,185,0.1631,-0.1546,0.0522,2.0634,6.068,1,jog
0.8641,186,0.1666,-0.1582,0.0522,3.4435,6.098,1,jog
0.8661,187,0.1654,-0.1566,0.0534,1.9973,6.013,1,jog
0.8682,188,0.1686,-0.1598,0.0538,3.3514,5.999,1,jog
0.8703,189,0.1678,-0.1587,0.0546,2.1612,5.916,1,jog
0.8729,190,0.1709,-0.1617,0.0551,1.7932,5.835,1,jog
0.875,191,0.1697,-0.1601,0.0563,2.0068,5.715,1,jog
0.8771,192,0.1728,-0.1632,0.0568,3.442,5.73,1,jog
0.8791,193,0.172,-0.1621,0.0577,2.1528,5.651,1,jog
0.8812,194,0.1752,-0.1652,0.0582,3.4646,5.647,1,jog
0.8832,195,0.1744,-0.1641,0.059,2.2054,5.532,1,jog
0.8854,196,0.1775,-0.1672,0.0596,1.7028,5.533,1,jog
0.8874,197,0.1767,-0.166,0.0605,2.163,5.459,1,jog
