time_s,mocap_hz,classifier_hz,pd_ctrl_hz
1.01,230.19,9.13,138.88
2.01,240.06,13.39,356.53
3.01,239.77,15.85,357.58
4.01,239.98,17.0,355.95
5.01,239.76,17.64,382.88
6.01,239.91,18.15,360.75
7.01,240.05,19.86,364.48
8.01,241.08,19.83,354.09
9.01,239.71,19.85,344.57
10.01,240.16,19.83,365.01
11.01,240.2,19.83,365.83
12.01,239.97,19.83,383.26
13.01,239.95,19.85,366.97
14.011,239.81,19.74,372.45
15.01,240.31,19.7,361.51
16.01,240.95,19.72,359.36
17.01,240.79,19.7,340.14
18.01,240.25,19.74,359.5
19.01,240.19,19.85,365.23
20.01,240.34,19.88,355.05
21.01,240.11,19.85,366.82
22.01,239.47,19.8,347.01
23.01,239.95,19.63,354.91
24.011,240.09,19.62,348.38
25.011,239.95,19.6,375.58
26.011,239.94,19.6,379.29
27.01,240.52,19.7,353.92
28.01,240.09,19.84,372.65
29.01,240.09,19.83,337.96
30.011,239.38,19.83,377.79
31.01,240.19,19.8,349.0
32.01,239.99,19.81,356.91
33.011,240.03,19.86,365.43
34.01,240.07,19.86,364.83
35.01,240.77,19.83,356.01
36.011,239.61,19.89,356.44
37.01,240.25,19.88,369.96
38.01,239.83,19.84,376.89
39.01,240.03,19.88,356.63
40.01,240.01,19.89,355.86
41.01,240.35,19.85,358.02
42.01,240.47,19.88,359.96
43.01,240.53,19.82,371.87
44.01,240.4,19.82,360.9
45.01,240.32,19.83,378.25
46.01,240.11,19.87,347.37
47.01,239.71,19.89,426.58
