time_s,mocap_hz,classifier_hz,pd_ctrl_hz
1.005,240.07,22.07,476.26
2.005,240.0,20.63,480.88
3.005,240.01,20.35,480.21
4.005,239.99,20.24,482.06
5.005,240.02,20.18,480.8
6.005,240.04,19.97,480.03
7.005,240.0,19.97,478.96
8.005,239.99,19.96,478.0
9.005,240.12,19.97,480.2
10.005,239.99,19.97,480.62
11.005,239.97,19.97,479.76
12.005,240.0,19.97,480.36
13.005,239.99,19.97,479.86
14.005,240.01,19.96,480.81
15.005,239.98,19.96,479.83
16.005,240.05,19.96,479.75
17.005,240.01,19.96,480.03
18.005,240.01,19.96,479.84
19.005,239.97,19.96,479.63
20.005,240.05,19.97,480.25
21.005,240.0,19.97,480.79
22.005,240.03,19.97,473.76
23.005,239.98,19.97,481.4
24.005,240.0,19.96,479.27
25.005,240.0,19.97,479.89
26.005,240.03,19.96,480.12
27.005,240.0,19.96,480.1
28.005,239.91,19.96,479.61
29.005,239.99,19.96,479.71
30.005,239.99,19.97,480.56
31.005,240.05,19.97,473.81
32.005,239.97,19.96,477.78
33.005,240.01,19.97,480.27
34.005,240.13,19.97,475.52
35.005,239.99,19.96,479.62
36.005,240.0,19.97,480.08
37.005,240.01,19.96,481.52
38.005,240.01,19.96,480.06
39.005,240.03,19.96,480.77
40.005,240.03,19.96,477.63
41.005,240.01,19.96,479.74
42.005,239.95,19.96,479.88
43.005,240.03,19.96,478.09
44.005,239.87,19.97,479.74
45.005,240.04,19.97,480.01
46.005,240.01,19.97,475.36
47.005,239.92,19.97,482.92
