time_s,mocap_hz,classifier_hz,pd_ctrl_hz
1.011,237.1,9.59,119.32
2.011,239.77,13.69,360.55
3.01,239.67,16.26,353.69
4.01,239.71,17.29,358.37
5.013,240.27,17.87,359.92
6.011,240.0,18.19,364.66
7.011,239.81,19.85,359.91
8.01,240.28,19.85,367.17
9.01,239.64,19.83,372.26
10.012,240.09,19.82,349.78
11.011,239.53,19.85,370.57
12.011,239.02,19.87,359.64
13.011,239.59,19.85,373.31
14.011,240.09,19.89,359.43
15.012,240.8,19.89,384.66
16.01,239.96,19.91,357.06
17.011,240.17,19.87,348.95
18.011,239.97,19.82,347.08
19.013,239.95,19.8,369.49
20.011,239.78,19.79,371.92
21.01,240.11,19.81,357.01
22.011,240.27,19.84,360.29
23.01,240.0,19.83,364.06
24.011,239.47,19.82,361.09
25.011,240.4,19.88,365.87
26.012,240.01,19.84,361.0
27.012,240.16,19.8,353.5
28.011,241.17,19.82,354.53
29.012,239.92,19.76,339.92
30.012,239.94,19.8,358.96
31.011,239.43,19.82,367.42
32.011,240.14,19.82,337.65
33.01,239.75,19.82,344.9
34.011,239.97,19.88,349.37
35.013,240.19,19.82,365.87
36.01,240.11,19.83,354.64
37.01,239.95,19.85,358.42
38.011,239.77,19.85,357.5
39.01,239.92,19.82,359.65
40.01,239.77,19.84,347.87
41.01,240.4,19.83,358.39
42.011,240.37,19.89,352.44
43.01,240.15,19.83,361.1
44.011,239.92,19.84,366.14
45.011,239.88,19.88,374.18
46.01,240.02,19.87,358.39
47.01,240.29,19.85,414.78
