time_s,mocap_hz,classifier_hz,pd_ctrl_hz
1.014,241.1,11.26,136.25
2.012,239.88,16.65,494.64
3.012,240.21,17.93,525.45
4.012,240.75,18.46,526.31
5.013,239.02,18.78,506.77
6.013,239.22,19.6,452.6
7.012,239.72,19.81,531.25
8.012,240.12,19.84,505.12
9.012,239.87,19.78,459.53
10.012,240.35,19.84,527.18
11.013,239.2,19.82,500.93
12.012,239.93,19.82,519.06
13.012,239.71,19.81,563.93
14.012,240.09,19.91,577.61
15.012,239.86,19.78,456.07
16.012,240.08,19.82,527.25
17.012,239.88,19.8,557.15
18.012,239.49,19.83,539.19
19.012,240.04,19.82,540.19
20.012,239.88,19.85,515.69
21.012,239.75,19.87,514.98
22.012,240.47,19.84,526.25
23.012,239.77,19.81,553.82
24.012,240.12,19.76,524.55
25.012,239.92,19.81,541.12
26.012,239.88,19.61,505.18
27.012,240.03,19.63,514.98
28.012,240.45,19.66,554.12
29.012,239.99,19.7,528.07
30.012,240.35,19.6,457.64
31.012,239.84,19.76,539.74
32.012,240.34,19.81,538.18
33.012,240.07,19.81,515.98
34.013,239.56,19.82,540.62
35.012,240.07,19.82,535.25
36.012,240.05,19.86,506.21
37.012,239.99,19.8,553.73
38.012,240.51,19.83,526.45
39.012,240.42,19.83,505.63
40.012,239.99,19.84,538.07
41.012,239.95,19.86,564.89
42.012,240.09,19.83,495.01
43.012,239.98,19.85,577.22
44.012,240.13,19.83,541.73
45.012,240.0,19.82,526.36
46.012,240.15,19.89,940.47
