time_s,mocap_hz,classifier_hz,pd_ctrl_hz
1.011,239.89,11.29,148.91
2.011,239.9,14.44,356.75
3.011,239.69,16.57,343.96
4.012,239.33,17.52,366.93
5.011,239.93,18.03,345.74
6.011,240.61,18.65,364.16
7.011,240.01,19.86,333.61
8.011,240.37,19.83,365.98
9.012,239.87,19.82,352.16
10.012,240.07,19.85,371.65
11.011,239.72,19.87,354.1
12.012,240.11,19.86,358.99
13.012,240.59,19.88,336.37
14.012,240.63,19.88,355.54
15.011,241.03,19.82,348.97
16.012,240.75,19.86,362.63
17.011,239.68,19.84,366.32
18.012,239.95,19.86,373.01
19.011,239.96,19.85,371.18
20.012,240.11,19.88,376.37
21.013,239.67,19.86,335.03
22.012,240.4,19.84,349.02
23.013,240.3,19.84,354.71
24.011,240.32,19.87,369.01
25.011,240.11,19.84,365.51
26.012,240.09,19.87,372.3
27.011,240.06,19.82,370.26
28.012,240.21,19.88,338.92
29.012,239.89,19.81,351.43
30.011,239.38,19.81,353.68
31.011,239.66,19.75,299.88
32.012,240.24,19.8,361.35
33.011,240.41,19.76,350.86
34.012,240.16,19.77,353.6
35.012,239.92,19.82,367.98
36.011,240.02,19.84,354.8
37.012,240.18,19.88,344.45
38.011,239.88,19.88,364.25
39.012,239.75,19.85,358.54
40.012,240.25,19.89,366.12
41.012,240.91,19.89,370.76
42.011,240.49,19.87,368.72
43.012,239.95,19.89,375.47
44.012,240.03,19.88,372.09
45.012,239.86,19.85,345.55
46.011,240.2,19.83,350.06
47.011,240.2,19.9,434.19
