time_s,frame,position_error_m,x_error_m,y_error_m,velocity_error_ms,heading_error_deg,joint_track_20cm_10deg,gait
0.4692,1,0.0,0.0,0.0,0.0,0.0,1,jog
0.4715,2,0.0,-0.0,-0.0,0.0,0.0,1,jog
0.4735,3,0.0,-0.0,-0.0,0.0,0.0,1,jog
0.4757,4,0.0,-0.0,-0.0,0.0,0.0,1,jog
0.4778,5,0.0,-0.0,-0.0,0.0,0.0,1,jog
0.4799,6,0.0,-0.0,-0.0,0.0,0.0,1,jog
0.482,7,0.0001,-0.0001,0.0,0.0,0.0,1,jog
0.4844,8,0.0001,-0.0001,0.0,0.0,0.0,1,jog
0.4868,9,0.0001,-0.0001,0.0,0.0,0.0,1,jog
0.4885,10,0.0001,-0.0001,0.0,0.0,0.0,1,jog
0.4908,11,0.0001,-0.0001,0.0,0.0,0.0,1,jog
0.493,12,0.0001,-0.0001,0.0,0.0,0.0,1,jog
0.495,13,0.0001,-0.0001,0.0,0.0,0.0,1,jog
0.4971,14,0.0001,-0.0001,0.0,0.0,0.0,1,jog
0.4992,15,0.0001,-0.0001,0.0,0.0,0.0,1,jog
0.5012,16,0.0001,-0.0001,0.0,0.0,0.001,1,jog
0.5034,17,0.0001,-0.0001,0.0,0.0,0.001,1,jog
0.5054,18,0.0001,-0.0001,0.0,0.0,0.001,1,jog
0.5088,19,0.0001,-0.0001,0.0,0.0,0.001,1,jog
0.5098,20,0.0002,-0.0002,0.0,0.0,0.001,1,jog
0.512,21,0.0002,-0.0002,0.0,0.0,0.001,1,jog
0.5141,22,0.0002,-0.0002,0.0,0.0,0.001,1,jog
0.5161,23,0.0002,-0.0002,0.0,0.0,0.001,1,jog
0.5182,24,0.0002,-0.0002,0.0,0.0,0.001,1,jog
0.5203,25,0.0002,-0.0002,0.0,0.0,0.001,1,jog
0.5223,26,0.0002,-0.0002,0.0,0.0,0.001,1,jog
0.5244,27,0.0002,-0.0002,0.0,0.0,0.002,1,jog
0.5264,28,0.0002,-0.0002,0.0,0.0,0.002,1,jog
0.5284,29,0.0002,-0.0002,0.0,0.0,0.002,1,jog
0.5305,30,0.0002,-0.0002,0.0,0.0,0.002,1,jog
0.5325,31,0.0002,-0.0002,0.0,0.0,0.002,1,jog
0.5346,32,0.0002,-0.0002,0.0,0.0,0.002,1,jog
0.5368,33,0.0002,-0.0002,0.0,0.0,0.003,1,jog
0.5389,34,0.0002,-0.0002,0.0,0.0,0.003,1,jog
0.5411,35,0.0002,-0.0002,0.0,0.0,0.003,1,jog
0.5431,36,0.0002,-0.0002,0.0,0.0,0.003,1,jog
0.5452,37,0.0002,-0.0002,0.0,0.0,0.004,1,jog
0.5472,38,0.0002,-0.0002,0.0,0.0,0.004,1,jog
0.5493,39,0.0002,-0.0002,0.0,0.0,0.004,1,jog
0.5514,40,0.0002,-0.0002,0.0,0.0,0.004,1,jog
0.5534,41,0.0002,-0.0002,0.0,0.0,0.005,1,jog
0.5555,42,0.0002,-0.0002,0.0,0.0,0.005,1,jog
0.5575,43,0.0002,-0.0002,0.0,0.0,0.005,1,jog
0.5596,44,0.0002,-0.0002,0.0,0.0,0.006,1,jog
0.5617,45,0.0002,-0.0002,0.0,0.0,0.006,1,jog
0.5638,46,0.0002,-0.0002,0.0,0.0,0.006,1,jog
0.566,47,0.0002,-0.0002,0.0,0.0,0.006,1,jog
0.568,48,0.0002,-0.0002,0.0,0.0,0.007,1,jog
0.5702,49,0.0002,-0.0002,0.0,0.0,0.007,1,jog
0.5722,50,0.0002,-0.0002,0.0,0.0,0.008,1,jog
0.5743,51,0.0002,-0.0002,0.0,0.0,0.008,1,jog
0.5763,52,0.0002,-0.0002,0.0,0.0,0.009,1,jog
0.5784,53,0.0002,-0.0002,0.0,0.0,0.009,1,jog
0.5804,54,0.0002,-0.0001,0.0,0.0,0.009,1,jog
0.5825,55,0.0001,-0.0001,0.0,0.0,0.01,1,jog
0.5845,56,0.0001,-0.0001,0.0,0.0,0.01,1,jog
0.5867,57,0.0001,-0.0001,0.0,0.0,0.01,1,jog
0.5888,58,0.0001,-0.0001,0.0,0.0,0.011,1,jog
0.5909,59,0.0001,-0.0001,0.0,0.0,0.011,1,jog
0.5929,60,0.0001,-0.0001,0.0,0.0,0.011,1,jog
0.5963,61,0.0001,-0.0001,0.0,0.0,0.012,1,jog
0.5973,62,0.0001,-0.0001,0.0,0.0,0.012,1,jog
0.5994,63,0.0001,-0.0001,0.0,0.0,0.012,1,jog
0.6014,64,0.0001,-0.0001,0.0,0.0,0.013,1,jog
0.6035,65,0.0001,-0.0001,0.0,0.0,0.013,1,jog
0.6055,66,0.0001,-0.0001,0.0,0.0,0.013,1,jog
0.6088,67,0.0001,-0.0001,0.0,0.0,0.014,1,jog
0.6099,68,0.0001,-0.0001,-0.0,0.0,0.014,1,jog
0.612,69,0.0001,-0.0001,-0.0,0.0,0.014,1,jog
0.614,70,0.0001,-0.0001,-0.0,0.0,0.014,1,jog
0.6165,71,0.0001,-0.0001,-0.0,0.0,0.014,1,jog
0.6182,72,0.0001,-0.0001,-0.0,0.0,0.015,1,jog
0.6202,73,0.0001,-0.0001,-0.0,0.0,0.015,1,jog
0.6223,74,0.0002,-0.0002,-0.0,0.0,0.015,1,jog
0.6243,75,0.0002,-0.0002,-0.0,0.0,0.015,1,jog
0.6264,76,0.0002,-0.0002,-0.0,0.0,0.015,1,jog
0.6294,77,0.0002,-0.0002,-0.0,0.0,0.015,1,jog
0.6305,78,0.0002,-0.0002,-0.0,0.0,0.015,1,jog
0.6326,79,0.0002,-0.0002,-0.0,0.0,0.015,1,jog
0.6346,80,0.0002,-0.0002,-0.0,0.0,0.015,1,jog
