time_s,mocap_hz,classifier_hz,pd_ctrl_hz
1.009,240.13,20.65,351.56
2.01,239.23,20.27,342.07
3.009,240.0,20.06,350.24
4.009,239.93,20.01,357.47
5.009,239.83,19.99,382.64
6.009,240.19,19.83,359.02
7.009,240.71,19.84,365.97
8.009,240.16,19.87,373.35
9.01,239.62,19.88,356.79
10.01,239.93,19.89,354.98
11.01,239.64,19.88,347.01
12.009,239.79,19.85,358.73
13.009,240.48,19.82,364.44
14.01,239.91,19.82,365.35
15.009,239.92,19.83,371.05
16.009,240.14,19.84,348.99
17.009,240.21,19.82,365.09
18.009,240.21,19.84,334.88
19.009,240.28,19.86,349.86
20.009,240.01,19.85,352.91
21.011,240.17,19.88,358.67
22.009,239.75,19.85,355.13
23.009,239.89,19.87,361.53
24.009,239.9,19.84,366.2
25.009,239.92,19.85,360.29
26.009,240.18,19.85,370.26
27.009,240.17,19.86,348.39
28.009,240.2,19.91,374.71
29.01,239.2,19.88,364.41
30.009,240.2,19.84,304.96
31.01,239.8,19.81,360.27
32.009,240.13,19.81,349.22
33.01,240.22,19.8,370.18
34.009,240.7,19.81,354.14
35.009,240.07,19.89,348.7
36.009,240.16,19.9,364.37
37.01,240.09,19.88,349.74
38.009,239.64,19.9,344.93
39.009,240.09,19.88,360.3
40.009,240.04,19.88,343.89
41.009,240.89,19.88,349.93
42.009,240.56,19.9,347.52
43.009,240.01,19.89,354.97
44.009,239.79,19.87,343.89
45.009,240.09,19.84,349.7
46.009,239.92,19.9,345.82
47.009,240.32,19.96,423.86
