time_s,frame,position_error_m,x_error_m,y_error_m,velocity_error_ms,heading_error_deg,gait
0.7214,1,0.0,0.0,-0.0,0.3815,1.472,walk
0.7217,2,0.0,0.0,0.0,0.3815,1.472,walk
0.7219,3,0.0,0.0,0.0,0.3815,1.472,walk
0.7221,4,0.0,0.0,0.0,0.3815,1.472,walk
0.7223,5,0.0,0.0,0.0,0.3815,1.472,walk
0.7226,6,0.0,0.0,0.0,0.3815,1.472,walk
0.7228,7,0.0,0.0,0.0,0.3815,1.472,walk
0.723,8,0.0,0.0,0.0,0.3815,1.472,walk
0.7236,9,0.0008,0.0007,-0.0004,0.1905,1.358,walk
0.7238,10,0.0008,0.0007,-0.0004,0.1905,1.358,walk
0.7251,11,0.0008,0.0007,-0.0004,0.1905,1.358,walk
0.7253,12,0.0008,0.0007,-0.0004,0.1905,1.358,walk
0.7255,13,0.0008,0.0007,-0.0004,0.1905,1.357,walk
0.7258,14,0.0008,0.0007,-0.0004,0.1905,1.357,walk
0.726,15,0.0008,0.0007,-0.0004,0.1905,1.357,walk
0.7262,16,0.0008,0.0007,-0.0004,0.1905,1.357,walk
0.7264,17,0.0008,0.0007,-0.0004,0.1905,1.357,walk
0.7266,18,0.0008,0.0007,-0.0004,0.1905,1.357,walk
0.7269,19,0.0008,0.0007,-0.0004,0.1905,1.357,walk
0.7271,20,0.0008,0.0007,-0.0004,0.1905,1.357,walk
0.7273,21,0.0008,0.0007,-0.0004,0.1905,1.357,walk
0.7277,22,0.0019,0.0017,-0.0008,0.2749,1.397,walk
0.7279,23,0.0019,0.0017,-0.0008,0.2749,1.397,walk
0.7281,24,0.0019,0.0017,-0.0008,0.2749,1.397,walk
0.7282,25,0.0019,0.0017,-0.0008,0.2749,1.397,walk
0.7294,26,0.0019,0.0017,-0.0008,0.2749,1.397,walk
0.7296,27,0.0019,0.0017,-0.0008,0.2749,1.397,walk
0.7297,28,0.0019,0.0017,-0.0008,0.2749,1.397,walk
0.7299,29,0.0019,0.0017,-0.0008,0.2749,1.397,walk
0.73,30,0.0019,0.0017,-0.0008,0.2749,1.397,walk
0.7302,31,0.0019,0.0017,-0.0008,0.2749,1.397,walk
0.7304,32,0.0019,0.0017,-0.0008,0.2749,1.397,walk
0.7306,33,0.0019,0.0017,-0.0008,0.2749,1.397,walk
0.7307,34,0.0019,0.0017,-0.0008,0.2749,1.397,walk
0.7309,35,0.0019,0.0017,-0.0008,0.2749,1.397,walk
0.7311,36,0.0019,0.0017,-0.0008,0.2749,1.397,walk
0.7313,37,0.0019,0.0017,-0.0008,0.2749,1.397,walk
0.7314,38,0.0019,0.0017,-0.0008,0.2749,1.397,walk
0.7319,39,0.0028,0.0025,-0.0012,0.214,1.323,walk
0.7321,40,0.0028,0.0025,-0.0012,0.214,1.323,walk
0.7323,41,0.0028,0.0025,-0.0012,0.214,1.323,walk
0.7324,42,0.0028,0.0025,-0.0012,0.214,1.323,walk
0.7335,43,0.0028,0.0025,-0.0012,0.214,1.323,walk
0.7337,44,0.0028,0.0025,-0.0012,0.214,1.323,walk
0.7339,45,0.0028,0.0025,-0.0012,0.214,1.323,walk
0.734,46,0.0028,0.0025,-0.0012,0.214,1.323,walk
0.7342,47,0.0028,0.0025,-0.0012,0.214,1.323,walk
0.7344,48,0.0028,0.0025,-0.0012,0.214,1.323,walk
0.7346,49,0.0028,0.0025,-0.0012,0.214,1.323,walk
0.7347,50,0.0028,0.0025,-0.0012,0.214,1.323,walk
0.7349,51,0.0028,0.0025,-0.0012,0.214,1.323,walk
0.7351,52,0.0028,0.0025,-0.0012,0.214,1.323,walk
0.7352,53,0.0028,0.0025,-0.0012,0.214,1.323,walk
0.7354,54,0.0028,0.0025,-0.0012,0.214,1.323,walk
0.7356,55,0.0028,0.0025,-0.0012,0.214,1.323,walk
0.736,56,0.0036,0.0032,-0.0015,0.1945,1.205,walk
0.7362,57,0.0036,0.0032,-0.0015,0.1945,1.205,walk
0.7364,58,0.0036,0.0032,-0.0015,0.1945,1.205,walk
0.7366,59,0.0036,0.0032,-0.0015,0.1945,1.205,walk
0.7373,60,0.0036,0.0032,-0.0015,0.1945,1.205,walk
0.7379,61,0.0036,0.0032,-0.0015,0.1945,1.205,walk
0.738,62,0.0036,0.0032,-0.0015,0.1945,1.205,walk
0.7383,63,0.0036,0.0032,-0.0015,0.1945,1.205,walk
0.7385,64,0.0036,0.0032,-0.0015,0.1945,1.205,walk
0.7386,65,0.0036,0.0032,-0.0015,0.1945,1.205,walk
0.7388,66,0.0036,0.0032,-0.0015,0.1945,1.205,walk
0.739,67,0.0036,0.0032,-0.0015,0.1945,1.205,walk
0.7391,68,0.0036,0.0032,-0.0015,0.1945,1.205,walk
0.7393,69,0.0036,0.0032,-0.0015,0.1945,1.205,walk
0.7395,70,0.0036,0.0032,-0.0015,0.1945,1.205,walk
0.7396,71,0.0036,0.0032,-0.0015,0.1945,1.204,walk
0.7398,72,0.0036,0.0032,-0.0015,0.1945,1.204,walk
0.7402,73,0.0046,0.0042,-0.0019,0.2562,1.141,walk
0.7404,74,0.0046,0.0042,-0.0019,0.2562,1.141,walk
