time_s,mocap_hz,classifier_hz,pd_ctrl_hz
1.009,240.88,20.64,360.77
2.009,240.05,20.25,349.32
3.009,239.75,20.02,349.34
4.009,239.77,19.99,352.5
5.009,239.91,20.0,345.85
6.009,239.95,19.89,350.05
7.009,239.9,19.87,354.59
8.009,240.38,19.9,353.69
9.009,240.38,19.9,342.54
10.009,240.14,19.83,349.23
11.009,240.97,19.85,364.45
12.009,240.11,19.87,370.44
13.009,240.02,19.83,355.54
14.009,240.06,19.87,330.06
15.009,240.18,19.82,343.79
16.009,239.82,19.83,346.12
17.01,239.68,19.86,366.06
18.01,240.32,19.89,350.72
19.009,240.49,19.85,365.82
20.009,240.4,19.88,339.3
21.009,240.42,19.85,339.86
22.009,239.84,19.88,365.68
23.009,239.88,19.87,358.38
24.01,239.73,19.85,357.25
25.009,240.08,19.74,349.72
26.009,239.8,19.7,354.22
27.009,240.52,19.69,348.44
28.009,240.52,19.72,369.86
29.009,240.07,19.69,317.92
30.009,239.93,19.83,339.89
31.009,240.34,19.82,360.79
32.009,239.39,19.88,359.26
33.009,240.14,19.82,349.31
34.009,239.56,19.84,342.52
35.009,239.81,19.86,357.07
36.009,239.96,19.83,334.49
37.009,240.16,19.82,355.92
38.009,240.3,19.82,348.36
39.009,239.85,19.89,344.48
40.009,240.31,19.86,354.42
41.009,239.68,19.87,360.96
42.009,239.7,19.83,350.47
43.009,240.03,19.86,366.33
44.009,240.38,19.84,338.86
45.01,239.85,19.81,337.47
46.01,239.95,19.87,360.15
47.009,240.03,19.91,418.32
