time_s,mocap_hz,classifier_hz,pd_ctrl_hz
1.032,239.89,21.68,479.65
2.032,240.05,20.59,477.97
3.032,240.02,20.34,477.98
4.032,240.0,20.23,472.16
5.032,240.13,20.18,469.96
6.032,240.02,19.97,481.16
7.032,240.0,19.97,478.45
8.032,240.01,19.96,477.34
9.032,240.05,19.96,464.45
10.032,239.99,19.95,472.26
11.032,240.0,19.96,470.58
12.032,240.06,19.95,475.57
13.032,240.06,19.96,477.44
14.032,239.97,19.96,479.55
15.032,240.01,19.96,480.56
16.032,240.11,19.96,470.69
17.032,240.02,19.96,475.94
18.032,239.91,19.96,469.55
19.032,240.06,19.96,469.98
20.032,240.01,19.96,480.83
21.032,239.96,19.97,478.89
22.032,239.89,19.97,478.62
23.032,239.95,19.97,477.38
24.032,240.01,19.97,479.93
25.032,239.98,19.97,480.72
26.032,239.99,19.97,479.77
27.032,239.99,19.97,480.16
28.032,239.99,19.97,479.15
29.032,239.98,19.96,480.12
30.032,240.0,19.97,480.65
31.032,240.0,19.97,478.73
32.032,240.0,19.97,481.06
33.032,240.04,19.97,480.12
34.032,239.98,19.96,475.49
35.032,239.96,19.96,480.04
36.032,239.99,19.95,478.33
37.032,240.03,19.96,469.73
38.032,240.0,19.95,479.88
