time_s,mocap_hz,classifier_hz,pd_ctrl_hz
1.007,240.01,20.37,316.51
2.009,239.16,19.99,350.7
3.008,240.11,19.84,362.78
4.008,239.53,19.9,364.51
5.008,240.31,19.92,361.53
6.008,240.28,19.83,358.67
7.007,240.47,19.84,350.88
8.008,240.61,19.9,349.34
9.008,239.69,19.88,365.97
10.008,240.09,19.87,354.21
11.008,239.9,19.89,364.21
12.007,240.1,19.88,358.94
13.008,239.75,19.86,365.91
14.008,240.44,19.81,359.08
15.008,240.06,19.79,342.53
16.008,240.07,19.83,366.26
17.007,239.81,19.8,345.38
18.008,239.75,19.8,361.01
19.008,239.78,19.86,353.09
20.007,239.87,19.89,353.27
21.007,239.77,19.83,365.77
22.008,239.96,19.84,363.03
23.008,240.35,19.86,349.56
24.008,239.87,19.85,364.16
25.008,240.02,19.87,373.97
26.007,240.08,19.88,354.2
27.008,239.55,19.92,350.89
28.008,239.82,19.84,376.9
29.008,240.15,19.8,370.63
30.007,240.05,19.78,361.52
31.008,239.47,19.8,335.76
32.009,239.94,19.78,341.18
33.008,239.88,19.82,369.88
34.008,240.08,19.88,348.79
35.008,239.97,19.88,358.56
36.008,240.0,19.81,346.53
37.008,240.21,19.83,351.55
38.008,240.09,19.84,365.68
39.008,239.9,19.83,358.64
40.008,239.72,19.83,366.19
41.007,240.2,19.87,365.63
42.008,240.45,19.82,364.57
43.008,240.16,19.84,343.96
44.008,239.82,19.83,354.82
45.008,239.76,19.84,358.39
46.007,240.11,19.82,370.05
47.008,239.99,19.92,406.83
