time_s,frame,position_error_m,x_error_m,y_error_m,velocity_error_ms,heading_error_deg,joint_track_20cm_10deg,gait
0.4709,1,0.0,-0.0,0.0,0.0159,0.0,1,walk
0.4732,2,0.0001,0.0,0.0001,0.0175,0.013,1,walk
0.4752,3,0.0001,0.0,0.0001,0.0175,0.012,1,walk
0.4774,4,0.0001,0.0001,0.0001,0.0157,0.026,1,walk
0.4794,5,0.0001,0.0001,0.0001,0.0157,0.025,1,walk
0.4815,6,0.0002,0.0001,0.0002,0.0212,0.035,1,walk
0.4835,7,0.0002,0.0001,0.0002,0.0212,0.035,1,walk
0.4856,8,0.0003,0.0001,0.0002,0.0154,0.049,1,walk
0.4876,9,0.0003,0.0001,0.0002,0.0154,0.048,1,walk
0.4897,10,0.0003,0.0002,0.0003,0.0204,0.056,1,walk
0.4918,11,0.0003,0.0002,0.0003,0.0204,0.056,1,walk
0.4938,12,0.0004,0.0002,0.0003,0.0208,0.07,1,walk
0.4959,13,0.0004,0.0002,0.0003,0.0208,0.07,1,walk
0.498,14,0.0005,0.0003,0.0004,0.021,0.083,1,walk
0.5,15,0.0005,0.0003,0.0004,0.021,0.083,1,walk
0.5022,16,0.0006,0.0004,0.0005,0.0222,0.09,1,walk
0.5042,17,0.0006,0.0004,0.0005,0.0222,0.09,1,walk
0.5064,18,0.0007,0.0004,0.0005,0.0255,0.096,1,walk
0.5084,19,0.0007,0.0004,0.0005,0.0255,0.096,1,walk
0.5105,20,0.0008,0.0005,0.0006,0.0228,0.106,1,walk
0.5126,21,0.0008,0.0005,0.0006,0.0228,0.105,1,walk
0.5147,22,0.0009,0.0006,0.0007,0.0275,0.111,1,walk
0.5167,23,0.0009,0.0006,0.0007,0.0275,0.111,1,walk
0.5189,24,0.001,0.0006,0.0008,0.0259,0.123,1,walk
0.5209,25,0.001,0.0006,0.0008,0.0259,0.123,1,walk
0.5231,26,0.0011,0.0007,0.0009,0.0291,0.135,1,walk
0.5251,27,0.0011,0.0007,0.0009,0.0291,0.135,1,walk
0.5272,28,0.0012,0.0008,0.0009,0.0294,0.154,1,walk
0.5292,29,0.0012,0.0007,0.0009,0.0294,0.154,1,walk
0.5314,30,0.0013,0.0008,0.001,0.0306,0.163,1,walk
0.5335,31,0.0013,0.0008,0.001,0.0306,0.163,1,walk
0.5355,32,0.0015,0.0009,0.0011,0.0341,0.178,1,walk
0.5376,33,0.0015,0.0009,0.0011,0.0341,0.179,1,walk
0.5398,34,0.0016,0.001,0.0013,0.0342,0.193,1,walk
0.5417,35,0.0016,0.001,0.0013,0.0342,0.193,1,walk
0.5439,36,0.0017,0.001,0.0014,0.0318,0.208,1,walk
0.5459,37,0.0017,0.001,0.0014,0.0318,0.208,1,walk
0.5481,38,0.0019,0.0011,0.0015,0.0369,0.219,1,walk
0.5501,39,0.0019,0.0011,0.0015,0.0369,0.219,1,walk
0.5523,40,0.002,0.0012,0.0016,0.0353,0.232,1,walk
0.5544,41,0.002,0.0012,0.0016,0.0353,0.232,1,walk
0.5565,42,0.0022,0.0013,0.0017,0.0387,0.245,1,walk
0.5585,43,0.0021,0.0013,0.0017,0.0387,0.245,1,walk
0.5606,44,0.0023,0.0013,0.0019,0.0346,0.26,1,walk
0.5626,45,0.0023,0.0013,0.0019,0.0346,0.26,1,walk
0.5648,46,0.0024,0.0014,0.002,0.0354,0.267,1,walk
0.5668,47,0.0024,0.0014,0.002,0.0354,0.267,1,walk
0.5689,48,0.0026,0.0014,0.0021,0.0409,0.282,1,walk
0.5709,49,0.0026,0.0014,0.0021,0.0409,0.282,1,walk
0.573,50,0.0027,0.0015,0.0023,0.0424,0.295,1,walk
0.5751,51,0.0027,0.0015,0.0023,0.0424,0.295,1,walk
0.5773,52,0.0029,0.0016,0.0024,0.045,0.311,1,walk
0.5793,53,0.0029,0.0016,0.0024,0.045,0.312,1,walk
0.5815,54,0.0031,0.0016,0.0026,0.0492,0.329,1,walk
0.5835,55,0.003,0.0015,0.0026,0.0492,0.33,1,walk
0.5856,56,0.0032,0.0015,0.0028,0.0517,0.349,1,walk
0.5877,57,0.0032,0.0014,0.0029,0.0517,0.346,1,walk
0.5898,58,0.0034,0.0014,0.0031,0.0526,0.361,1,walk
0.5919,59,0.0034,0.0013,0.0031,0.0526,0.356,1,walk
0.594,60,0.0036,0.0013,0.0033,0.0498,0.364,1,walk
0.596,61,0.0036,0.0013,0.0033,0.0498,0.356,1,walk
0.5984,62,0.0038,0.0014,0.0035,0.0589,0.365,1,walk
0.6005,63,0.0038,0.0014,0.0036,0.0589,0.357,1,walk
0.6026,64,0.004,0.0015,0.0037,0.0546,0.367,1,walk
0.6047,65,0.004,0.0015,0.0037,0.0546,0.364,1,walk
0.6068,66,0.0043,0.0016,0.0039,0.0581,0.369,1,walk
0.6088,67,0.0043,0.0016,0.0039,0.0581,0.363,1,walk
0.6109,68,0.0045,0.0018,0.0041,0.0575,0.375,1,walk
0.613,69,0.0045,0.0018,0.0041,0.0575,0.372,1,walk
0.6151,70,0.0047,0.0019,0.0043,0.0572,0.39,1,walk
0.6171,71,0.0047,0.0019,0.0043,0.0572,0.384,1,walk
0.6192,72,0.005,0.0021,0.0045,0.0581,0.402,1,walk
0.6213,73,0.005,0.0021,0.0045,0.0581,0.4,1,walk
0.6234,74,0.0052,0.0022,0.0047,0.0612,0.421,1,walk
0.6255,75,0.0052,0.0023,0.0047,0.0612,0.42,1,walk
0.6276,76,0.0055,0.0024,0.005,0.0648,0.439,1,walk
0.6296,77,0.0055,0.0024,0.005,0.0648,0.439,1,walk
0.6318,78,0.0058,0.0026,0.0052,0.0663,0.454,1,walk
0.6338,79,0.0058,0.0026,0.0052,0.0663,0.454,1,walk
0.6359,80,0.0061,0.0028,0.0054,0.0759,0.468,1,walk
0.6379,81,0.0061,0.0028,0.0054,0.0759,0.467,1,walk
0.6401,82,0.0064,0.0029,0.0057,0.0746,0.478,1,walk
0.6421,83,0.0064,0.0029,0.0057,0.0746,0.478,1,walk
0.6442,84,0.0067,0.003,0.006,0.0726,0.496,1,walk
0.6462,85,0.0067,0.003,0.006,0.0726,0.496,1,walk
0.6483,86,0.007,0.0032,0.0063,0.0758,0.517,1,walk
0.6504,87,0.007,0.0031,0.0063,0.0758,0.517,1,walk
0.6526,88,0.0073,0.0033,0.0065,0.0708,0.524,1,walk
0.6545,89,0.0073,0.0033,0.0065,0.0708,0.524,1,walk
0.6566,90,0.0076,0.0034,0.0068,0.0735,0.536,1,walk
0.6586,91,0.0076,0.0034,0.0068,0.0735,0.535,1,walk
0.6608,92,0.0079,0.0036,0.0071,0.0761,0.55,1,walk
0.6628,93,0.0079,0.0036,0.0071,0.0761,0.55,1,walk
0.6649,94,0.0083,0.0037,0.0074,0.0796,0.567,1,walk
