time_s,mocap_hz,classifier_hz,pd_ctrl_hz
1.004,240.06,21.91,480.51
2.004,239.94,20.6,477.32
3.004,239.97,20.35,477.25
4.004,239.99,20.24,481.35
5.004,240.0,20.18,479.99
6.004,239.98,19.97,479.71
7.004,240.06,19.97,480.1
8.004,239.99,19.97,479.98
9.004,240.03,19.97,480.31
10.004,240.01,19.97,480.02
11.004,239.99,19.96,480.53
12.004,240.02,19.97,479.96
13.004,240.0,19.96,479.78
14.004,240.07,19.97,479.75
15.004,239.81,19.96,476.35
16.004,240.0,19.97,480.48
17.004,240.03,19.97,479.17
18.004,239.95,19.97,473.91
19.004,239.91,19.96,479.2
20.004,239.99,19.97,480.29
21.004,240.02,19.96,480.04
22.004,239.98,19.97,479.72
23.004,240.03,19.97,480.15
24.004,240.01,19.97,479.64
25.004,239.9,19.96,479.53
26.004,240.06,19.96,478.29
