time_s,mocap_hz,classifier_hz,pd_ctrl_hz
1.012,241.24,10.12,139.78
2.011,240.03,14.05,371.61
3.011,239.68,16.41,358.09
4.011,239.67,17.41,384.77
5.011,239.91,17.96,342.67
6.011,240.12,18.61,373.15
7.011,240.44,19.91,350.17
8.011,240.26,19.89,371.25
9.011,240.01,19.85,359.61
10.013,240.18,19.86,370.37
11.011,240.07,19.86,348.94
12.011,239.58,19.88,376.44
13.012,239.73,19.86,358.81
14.011,239.86,19.87,350.92
15.015,239.66,19.87,360.83
16.011,240.05,19.86,376.38
17.012,240.12,19.84,360.1
18.013,239.87,19.86,360.12
19.011,240.3,19.85,375.16
20.011,239.82,19.87,356.83
21.013,240.44,19.89,365.37
22.011,239.95,19.88,370.85
23.012,240.23,19.86,312.03
24.011,239.92,19.88,365.34
25.012,240.26,19.85,370.43
26.013,240.31,19.82,349.36
27.011,239.69,19.84,351.83
28.013,239.23,19.81,359.6
29.012,240.0,19.82,339.89
30.012,240.0,19.81,364.84
31.011,239.91,19.83,335.26
32.011,240.04,19.83,378.03
33.012,240.08,19.87,359.74
34.013,240.52,19.83,343.46
35.011,239.81,19.87,348.42
36.011,239.81,19.86,365.17
37.011,239.96,19.83,370.1
38.011,239.93,19.81,358.74
39.011,240.07,19.86,357.79
40.011,239.6,19.84,360.63
41.011,239.66,19.83,374.82
42.011,239.92,19.84,364.56
43.011,239.96,19.86,366.66
44.011,239.9,19.88,367.72
45.011,239.94,19.85,353.65
46.011,239.91,19.9,355.2
47.011,239.6,19.88,428.42
