Frame,Time (Seconds),LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z
0,0.000000,0.005492,0.029752,-0.942557,-0.332672,1.539067,-0.961101,0.013329,0.021476,0.037512,-0.828489,-0.558335,1.769562,-0.745333,0.021599,-0.010108,-0.031765,0.877605,0.478225,1.636710,-0.868005,0.938255
1,0.004167,0.005524,0.029988,-0.942541,-0.332696,1.539055,-0.961123,0.013324,0.021503,0.037589,-0.828503,-0.558307,1.769554,-0.745349,0.021605,-0.010394,-0.031832,0.877605,0.478214,1.636746,-0.867959,0.938206
2,0.008333,0.005561,0.030219,-0.942528,-0.332712,1.539051,-0.961142,0.013315,0.021509,0.037638,-0.828505,-0.558302,1.769550,-0.745360,0.021611,-0.010649,-0.031774,0.877603,0.478215,1.636753,-0.867916,0.938168
3,0.012500,0.005621,0.030494,-0.942483,-0.332812,1.539039,-0.961166,0.013306,0.021523,0.037691,-0.828498,-0.558308,1.769538,-0.745374,0.021630,-0.010822,-0.031608,0.877591,0.478245,1.636756,-0.867864,0.938147
4,0.016667,0.005656,0.030756,-0.942454,-0.332870,1.539029,-0.961186,0.013292,0.021496,0.037705,-0.828500,-0.558305,1.769528,-0.745378,0.021640,-0.010944,-0.031449,0.877558,0.478312,1.636744,-0.867807,0.938141
5,0.020833,0.005701,0.030981,-0.942433,-0.332907,1.539015,-0.961206,0.013286,0.021524,0.037753,-0.828521,-0.558269,1.769520,-0.745395,0.021653,-0.010970,-0.031179,0.877523,0.478394,1.636719,-0.867754,0.938145
6,0.025000,0.005726,0.030877,-0.942329,-0.333211,1.538963,-0.961231,0.013300,0.021527,0.037816,-0.828522,-0.558264,1.769515,-0.745400,0.021677,-0.010942,-0.030894,0.877487,0.478479,1.636697,-0.867683,0.938151
7,0.029167,0.005313,0.031919,-0.942371,-0.333000,1.539078,-0.961199,0.013224,0.021479,0.037770,-0.828520,-0.558271,1.769497,-0.745408,0.021691,-0.011005,-0.030652,0.877447,0.478567,1.636673,-0.867608,0.938129
8,0.033333,0.005330,0.032315,-0.942327,-0.333088,1.539061,-0.961213,0.013216,0.021432,0.037831,-0.828534,-0.558248,1.769490,-0.745417,0.021709,-0.011110,-0.030526,0.877395,0.478667,1.636661,-0.867520,0.938106
9,0.037500,0.005374,0.032649,-0.942267,-0.333223,1.539052,-0.961240,0.013206,0.021431,0.037795,-0.828545,-0.558234,1.769479,-0.745431,0.021727,-0.011232,-0.030362,0.877357,0.478745,1.636665,-0.867423,0.938043
10,0.041667,0.005453,0.032990,-0.942229,-0.333297,1.539045,-0.961267,0.013190,0.021389,0.037821,-0.828541,-0.558241,1.769471,-0.745447,0.021754,-0.011420,-0.030248,0.877376,0.478713,1.636701,-0.867310,0.937983
11,0.045833,0.005475,0.033351,-0.942190,-0.333369,1.539031,-0.961292,0.013180,0.021458,0.037897,-0.828562,-0.558201,1.769460,-0.745464,0.021777,-0.011601,-0.030240,0.877347,0.478761,1.636726,-0.867196,0.937916
12,0.050000,0.005523,0.033665,-0.942150,-0.333451,1.539017,-0.961315,0.013166,0.021500,0.037967,-0.828560,-0.558198,1.769447,-0.745470,0.021793,-0.011799,-0.030178,0.877344,0.478766,1.636757,-0.867082,0.937838
13,0.054167,0.005621,0.034017,-0.942105,-0.333540,1.539011,-0.961349,0.013168,0.021555,0.038033,-0.828580,-0.558161,1.769441,-0.745480,0.021819,-0.012018,-0.030110,0.877332,0.478788,1.636796,-0.866957,0.937766
