time_s,mocap_hz,classifier_hz,pd_ctrl_hz
1.009,240.01,20.73,363.08
2.009,239.83,20.28,354.77
3.009,239.26,20.04,354.21
4.009,240.35,20.01,360.34
5.009,239.87,19.97,339.91
6.009,240.27,19.85,350.32
7.009,240.25,19.82,342.62
8.009,239.3,19.87,355.25
9.01,239.78,19.83,365.51
10.009,240.01,19.88,365.28
11.01,239.45,19.85,370.04
12.009,240.02,19.88,366.25
13.009,240.47,19.86,362.32
14.009,240.16,19.89,356.1
15.01,240.14,19.74,362.61
16.009,239.8,19.85,361.01
17.009,239.95,19.82,352.05
18.01,240.03,19.84,375.85
19.009,239.97,19.85,360.17
20.009,240.04,19.84,355.17
21.009,240.01,19.87,343.37
22.01,240.3,19.81,354.82
23.009,240.12,19.85,383.91
24.009,240.04,19.81,371.87
25.009,239.83,19.78,362.3
26.01,239.5,19.8,359.49
27.012,238.94,19.86,346.71
28.01,239.58,19.8,352.03
29.009,239.22,19.81,348.82
30.01,239.6,19.78,334.89
31.009,240.28,19.84,350.61
32.009,240.13,19.86,354.15
33.009,240.05,19.87,342.95
34.01,240.24,19.88,355.36
35.01,240.21,19.94,354.73
36.009,240.11,19.85,359.28
37.01,239.72,19.85,374.32
38.009,240.08,19.89,358.85
39.009,240.13,19.88,355.85
40.009,240.46,19.85,366.51
41.01,240.31,19.89,364.34
42.01,239.52,19.92,368.26
43.009,239.87,19.86,345.42
44.009,240.13,19.89,361.89
45.01,239.68,19.88,364.02
46.009,239.81,19.88,352.14
47.009,239.96,19.93,443.22
